0:0:0:0:0:0:0:1 - - [15/May/2023:09:50:06 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:53:07 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:53:08 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:53:17 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:31 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:33 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:33 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:43 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:45 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:45 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:46 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:50 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:50 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:55:00 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:55:03 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:55:03 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:55:04 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:56:09 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:56:09 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:56:31 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:56:31 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:56:32 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:56:32 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:56:37 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:10:15:56 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:10:15:56 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:10:17:47 +0200] "PUT /arca/rest/animale/update HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [15/May/2023:10:17:48 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:10:17:51 +0200] "DELETE /arca/rest/animale/sbarca HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [15/May/2023:10:17:52 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:10:18:00 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
